"COD_CIA","COD_RAMO","COD_REGLA","DSNIVEL","FECHA_REGISTRO"
3,103,"103PTV001","1",
3,103,"103ZTZ001","S",17/04/15
3,131,"131STZ001","S",01/04/20
3,153,"153PTV001","C",
3,153,"153PTV002","4",
3,153,"153PTV003","1",
2,999,"200PTV500","1",
3,999,"200PTV500","1",
3,250,"201CTT001","4",
3,250,"201CTT004","P",
3,250,"201CTT008","C",
3,250,"201CTT016","4",
3,250,"201CTT541","C",
3,250,"201CTT999","C",
3,16,"201GTV030","C",
3,13,"201GTV030","C",
3,250,"201GTV030","C",
3,10,"201GTV030","C",
3,12,"201GTV030","C",
3,14,"201GTV030","C",
3,19,"201GTV030","C",
3,11,"201GTV030","C",
3,10,"201GTV050","4",
3,11,"201GTV050","4",
3,250,"201GTV050","4",
3,12,"201GTV050","4",
3,14,"201GTV050","4",
3,16,"201GTV050","4",
3,19,"201GTV050","4",
3,13,"201GTV050","4",
3,16,"201GTV060","1",
3,19,"201GTV060","1",
3,10,"201GTV060","1",
3,13,"201GTV060","1",
3,14,"201GTV060","1",
3,12,"201GTV060","1",
3,11,"201GTV060","1",
3,250,"201GTV060","1",
3,19,"201GTV064","D",
3,13,"201GTV064","D",
3,12,"201GTV064","D",
3,14,"201GTV064","D",
3,250,"201GTV064","D",
3,10,"201GTV064","D",
3,11,"201GTV064","D",
3,16,"201GTV064","D",
3,10,"201GTV066","1",
3,16,"201GTV066","1",
3,19,"201GTV066","1",
3,12,"201GTV066","1",
3,14,"201GTV066","1",
3,13,"201GTV066","1",
3,11,"201GTV066","1",
3,250,"201GTV100","D",
3,11,"201GTV100","D",
3,16,"201GTV100","D",
3,12,"201GTV100","D",
3,13,"201GTV100","D",
3,19,"201GTV100","D",
3,14,"201GTV100","D",
3,10,"201GTV100","D",
3,12,"201GTV101","D",
3,16,"201GTV101","D",
3,250,"201GTV101","D",
3,19,"201GTV101","D",
3,10,"201GTV101","D",
3,11,"201GTV101","D",
3,14,"201GTV101","D",
3,13,"201GTV101","D",
3,12,"201GTV102","D",
3,13,"201GTV102","D",
3,14,"201GTV102","D",
3,11,"201GTV102","D",
3,16,"201GTV102","D",
3,10,"201GTV102","D",
3,19,"201GTV102","D",
3,250,"201GTV102","D",
3,999,"201GTV105","F",
3,12,"201GTV106","D",
3,14,"201GTV106","D",
3,13,"201GTV106","D",
3,10,"201GTV106","D",
3,19,"201GTV106","D",
3,250,"201GTV106","D",
3,11,"201GTV106","D",
3,16,"201GTV106","D",
3,10,"201GTV107","1",
3,12,"201GTV107","1",
3,13,"201GTV107","1",
3,11,"201GTV107","1",
3,14,"201GTV107","1",
3,15,"201GTV107","1",
3,19,"201GTV107","1",
3,16,"201GTV107","1",
3,250,"201GTV107","1",
3,14,"201GTV108","1",
3,12,"201GTV108","1",
3,13,"201GTV108","1",
3,10,"201GTV108","1",
3,19,"201GTV108","1",
3,16,"201GTV108","1",
3,11,"201GTV108","1",
3,12,"201GTV109","D",
3,11,"201GTV109","D",
3,16,"201GTV109","D",
3,14,"201GTV109","D",
3,13,"201GTV109","D",
3,250,"201GTV109","D",
3,19,"201GTV109","D",
3,10,"201GTV109","D",
3,16,"201GTV110","D",
3,250,"201GTV110","D",
3,10,"201GTV110","D",
3,11,"201GTV110","D",
3,13,"201GTV110","D",
3,14,"201GTV110","D",
3,12,"201GTV110","D",
3,19,"201GTV110","D",
3,14,"201GTV112","D",
3,12,"201GTV112","D",
3,10,"201GTV112","D",
3,19,"201GTV112","D",
3,250,"201GTV112","D",
3,13,"201GTV112","D",
3,11,"201GTV112","D",
3,16,"201GTV112","D",
3,14,"201GTV116","C",
3,13,"201GTV116","C",
3,250,"201GTV116","C",
3,11,"201GTV116","C",
3,12,"201GTV116","C",
3,16,"201GTV116","C",
3,10,"201GTV116","C",
3,19,"201GTV116","C",
3,19,"201GTV118","1",
3,16,"201GTV118","1",
3,250,"201GTV118","1",
3,10,"201GTV118","1",
3,11,"201GTV118","1",
3,13,"201GTV118","1",
3,17,"201GTV118","1",
3,14,"201GTV118","1",
3,12,"201GTV118","1",
3,17,"201GTV120","D",
3,17,"201GTV122","1",
3,250,"201GTV124","A",
3,14,"201GTV124","A",
3,13,"201GTV124","A",
3,16,"201GTV124","A",
3,11,"201GTV124","A",
3,10,"201GTV124","A",
3,19,"201GTV124","A",
3,12,"201GTV124","A",
3,17,"201GTV126","1",
3,11,"201GTV129","4",
3,16,"201GTV129","4",
3,19,"201GTV129","4",
3,10,"201GTV129","4",
3,12,"201GTV129","4",
3,14,"201GTV129","4",
3,13,"201GTV129","4",
3,13,"201GTV131","D",
3,14,"201GTV131","D",
3,19,"201GTV131","D",
3,16,"201GTV131","D",
3,12,"201GTV131","D",
3,10,"201GTV131","D",
3,250,"201GTV131","D",
3,11,"201GTV131","D",
3,18,"201GTV134","C",
3,999,"201GTV138","1",
3,3,"201GTV141","1",
3,3,"201GTV142","C",
3,250,"201GTV143","C",
3,250,"201GTV145","C",
3,999,"201GTV148","C",
3,250,"201GTV440","1",
3,250,"201GTV441","1",
3,250,"201GTV500","D",
3,250,"201GTV600","C",
